,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,date
557,1F2HXIJrE2Xn81OzT2zZvW,0.0293,0.726,233833,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733,2017-05-18
558,4OCzAGgyWsUKpdWufYywZm,0.000519,0.452,222027,0.873,0.0,9,0.0592,-4.867,1,0.0613,80.473,4,0.433,2017-05-18
559,7r9ZTgy31yObGZE6ZYDlQg,0.143,0.423,278973,0.845,5.07e-06,11,0.213,-3.509,0,0.0559,116.602,4,0.317,2017-05-18
560,02LZ1fGJE8fB56yTlCVMEV,0.00348,0.914,189600,0.624,0.00389,11,0.395,-6.112,0,0.0531,109.977,4,0.346,2017-05-19
561,1SJtlNRJDeYHioymcvsqev,0.334,0.334,216391,0.617,0.0,6,0.163,-5.834,0,0.383,85.227,4,0.603,2017-05-19
562,3VRk65lHSwqd90TAkQqhvB,0.0182,0.835,242174,0.719,1.9e-05,5,0.127,-5.167,0,0.0559,119.946,4,0.532,2017-05-19
563,4Ro98RCK90oHqqSZUnTFq5,0.22,0.874,204502,0.497,0.0,6,0.0761,-5.484,1,0.0562,106.023,4,0.542,2017-05-19
564,7l4DyFrK2CpW9Fdpzaio8r,0.0472,0.701,170943,0.808,8.69e-06,7,0.663,-6.808,1,0.0602,127.984,4,0.726,2017-05-19
565,6oaUl6NHcfCU0rwmCDrYe1,0.189,0.61,236243,0.662,0.0,10,0.109,-6.568,0,0.0665,168.13,4,0.811,2017-05-19
566,7nAfXgeHfDO50upcOjJOaq,0.00184,0.593,231307,0.712,0.0,2,0.128,-6.325,0,0.0286,124.013,4,0.473,2017-05-19
567,3NgCzSW98SsqBdpYcnm4kv,0.405,0.393,221881,0.555,0.0,10,0.105,-6.096,0,0.276,167.999,4,0.22,2017-05-21
568,2srL4DYBekshpbprS6H0mO,0.841,0.555,213192,0.439,0.0,7,0.106,-11.026,1,0.222,186.581,4,0.705,2017-05-21
569,6EpRaXYhGOB3fj4V2uDkMJ,0.246,0.869,204502,0.485,0.0,6,0.0765,-5.595,1,0.0545,106.028,4,0.527,2017-05-22
570,5LVWGCl4mjGFXDIvQbOGvr,0.733,0.462,208930,0.519,0.0,6,0.724,-5.472,1,0.0373,108.512,5,0.575,2017-05-25
571,4C5ewaZ05vyXM23jFJdwd4,0.01,0.69,221206,0.784,4.08e-05,11,0.22,-4.724,1,0.056,109.969,4,0.284,2017-05-26
572,6jA8HL9i4QGzsj6fjoxp8Y,0.124,0.611,221904,0.644,0.0,6,0.124,-7.607,0,0.0553,105.969,4,0.13,2017-05-26
573,4c2W3VKsOFoIg2SFaO6DY5,0.158,0.855,180757,0.624,0.0,1,0.0513,-4.093,1,0.0488,117.959,4,0.962,2017-05-26
574,5jWL1XZdSeJmwPBBWxHh3e,0.285,0.692,251653,0.714,0.0,10,0.0848,-4.928,0,0.0404,120.005,4,0.426,2017-05-26
575,5voCM4S07vfYxUxLcp1G3R,0.258,0.764,212875,0.72,0.0,4,0.11,-6.121,0,0.518,92.659,4,0.73,2017-05-26
576,2ZUbYZPp8Wp0J5hHp1Mn4b,0.0664,0.713,171699,0.637,0.0,1,0.129,-5.444,1,0.0973,129.888,4,0.536,2017-05-27
577,4sVkydp30HWLjOvF2ILbGy,0.316,0.657,170517,0.925,0.0,10,0.606,-2.252,0,0.189,93.941,4,0.904,2017-05-28
578,05rJdH2MRLJ3sQoEUO78qs,0.0117,0.695,141317,0.775,0.191,11,0.0702,-5.041,0,0.0887,180.054,4,0.869,2017-06-01
579,3ibRxEv4KkcU9e259eyNJA,0.00812,0.789,167311,0.767,0.000348,9,0.101,-4.612,0,0.0715,99.957,4,0.637,2017-06-01
580,4cxpIEePQYsRDrVG6Q0K6h,0.132,0.738,225850,0.814,9.64e-06,7,0.126,-4.414,0,0.0999,119.041,4,0.483,2017-06-01
581,1NDxZ7cFAo481dtYWdrUnR,0.15,0.703,193613,0.868,0.132,7,0.104,-4.661,0,0.0291,121.03,4,0.733,2017-06-01
582,5gUFvcHTgDNthj7DmZl2L7,0.00812,0.789,167311,0.767,0.000348,9,0.101,-4.612,0,0.0715,99.957,4,0.637,2017-06-03
583,7LEydI5NfjY6mZfKwYIptZ,0.0162,0.53,164985,0.512,7.04e-05,8,0.128,-7.094,1,0.133,196.121,4,0.401,2017-06-03
584,24putRJqkmdXxfKq5OI4TC,0.033,0.602,218250,0.769,9.27e-06,9,0.102,-5.194,1,0.0667,160.098,4,0.331,2017-06-03
585,0C7RxcoJUdt0EDtQLuOFc6,0.0103,0.69,221206,0.792,6.69e-05,11,0.216,-4.774,1,0.057,109.976,4,0.262,2017-06-03
586,3Ytr1SUCUi6J3L9dRFx5iH,0.132,0.738,225850,0.814,9.64e-06,7,0.126,-4.414,0,0.0999,119.041,4,0.483,2017-06-03
587,1bEtvMQ0iUiwxI8Q909WJZ,0.104,0.365,189227,0.942,0.0,2,0.311,-4.26,1,0.195,177.726,4,0.443,2017-06-03
588,0PGQFIxe8kC5IAdNfAOtEM,0.0024,0.616,221874,0.576,2.91e-05,1,0.128,-5.299,0,0.0561,104.414,4,0.521,2017-06-03
589,4BjPsq3MXBNo4Qxg40igEr,0.0711,0.599,232727,0.512,0.0,4,0.0816,-2.578,1,0.0641,87.838,5,0.725,2017-06-03
590,4Ti7WdCbPoxBBURxuY6sT9,0.284,0.93,165558,0.438,0.0,8,0.147,-6.637,1,0.351,132.003,4,0.856,2017-06-04
591,2g2ZjM1GjY9Lf2Ff0L94Ul,0.196,0.648,186981,0.833,0.0,2,0.313,-6.323,1,0.258,135.666,4,0.691,2017-06-05
592,5ac0YTpOaDX9wEYYyGCglL,0.0851,0.623,168240,0.892,3.86e-06,7,0.779,-4.128,1,0.089,127.787,4,0.663,2017-06-05
593,2kVHAQKVtczchKctctzbtK,0.0196,0.836,242510,0.716,1.83e-05,5,0.101,-5.211,0,0.0549,119.938,4,0.534,2017-06-05
594,7i2DJ88J7jQ8K7zqFX2fW8,0.107,0.67,214802,0.585,1.11e-06,6,0.131,-4.861,0,0.0354,110.03,4,0.447,2017-06-05
595,3bp5fh0qPmCqC5PWEewFkm,0.00143,0.726,181528,0.804,0.000392,7,0.453,-4.301,1,0.0434,149.985,4,0.45,2017-06-05
596,39vJqbfolMyPJtJuyoj1EM,0.126,0.669,175761,0.912,0.0,4,0.348,-2.729,1,0.121,92.298,4,0.676,2017-06-05
597,11EDhDAVDtGPoSar6ootYA,0.01,0.69,221206,0.784,4.08e-05,11,0.22,-4.724,1,0.056,109.969,4,0.284,2017-06-05
598,3B54sVLJ402zGa6Xm4YGNe,0.0293,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.733,2017-06-05
599,6pSYjx66rlqRmGGTHhnjCo,0.0133,0.532,210960,0.467,2.91e-06,11,0.226,-6.499,0,0.117,76.792,5,0.249,2017-06-05
600,6D0b04NJIKfEMg040WioJQ,0.413,0.706,176320,0.427,0.0,8,0.0609,-6.864,1,0.0879,113.804,4,0.42,2017-06-05
601,7bJwvubZZaoGE1AGEfu8Fi,0.115,0.624,197253,0.618,3.3e-06,8,0.104,-4.868,1,0.0322,125.036,4,0.122,2017-06-05
602,5xVJU6DJHnmHnbbKS56yCC,0.66,0.794,216429,0.474,0.0,2,0.112,-6.993,0,0.0387,111.971,4,0.857,2017-06-05
603,0r0U9AcE4LP0QzJQDUUlXP,0.087,0.338,189227,0.942,0.0,11,0.261,-3.579,0,0.182,177.892,4,0.393,2017-06-05
604,0NiXXAI876aGImAd6rTj8w,0.091,0.739,181615,0.792,0.0,11,0.0516,-4.256,0,0.0418,104.016,4,0.547,2017-06-05
605,3A7qX2QjDlPnazUsRk5y0M,0.219,0.548,194897,0.65,0.0,8,0.225,-5.827,0,0.0591,144.937,4,0.557,2017-06-09
606,7iz4bsfPOrK9wzhXkgUfya,0.033,0.614,250511,0.602,0.000146,6,0.116,-8.759,0,0.0522,119.95,4,0.15,2017-06-09
607,5jhF4d9nxIm1P58WQCCa5h,0.0164,0.64,198690,0.627,3.03e-05,6,0.118,-4.498,0,0.0319,112.036,4,0.427,2017-06-09
608,7nY0TjOsD1BZehkZgLiOxO,0.051,0.657,214955,0.71,0.0,9,0.0511,-5.591,1,0.103,134.073,4,0.427,2017-06-09
609,5q9stUg2W38X9PyzgIOdhH,0.372,0.638,197849,0.619,0.00258,9,0.0924,-6.861,0,0.0667,120.049,4,0.171,2017-06-09
610,6zZw7RPIs3IxDghP4UvWcY,0.289,0.9,182627,0.783,0.0,8,0.182,-5.458,0,0.3,98.063,4,0.815,2017-06-09
611,1uECcHHBhsqoie0s5qaqx0,0.0467,0.569,226471,0.597,0.0,5,0.0833,-4.679,0,0.0645,142.298,4,0.384,2017-06-09
612,0TvQLMecTE8utzoNmvXRbK,0.0978,0.65,211933,0.796,1.08e-05,7,0.172,-6.078,1,0.177,170.141,4,0.295,2017-06-09
613,1u8c2t2Cy7UBoG4ArRcF5g,0.0824,0.752,231827,0.708,0.0,5,0.088,-5.462,1,0.0525,96.033,4,0.546,2017-06-09
614,0IsEC63UeGToLbwQVlbilu,0.524,0.418,248167,0.475,0.0,7,0.0847,-7.502,1,0.0932,119.879,4,0.211,2017-06-09
615,3YjGBw910aEg6PkNjYqyCU,0.822,0.561,204533,0.445,4.71e-06,2,0.127,-7.625,1,0.0278,139.92,4,0.247,2017-06-09
616,5ciT1HuQvYJMxEIasAdySF,0.224,0.561,234278,0.478,0.0,2,0.14,-7.987,1,0.0316,123.772,4,0.255,2017-06-09
617,7jd3HUqESk12Qiwceb7kKf,0.0323,0.632,203130,0.569,1.01e-06,8,0.104,-6.669,1,0.0596,80.983,4,0.374,2017-06-09
618,2mNbgyi0gori4b1rFSPgIb,0.2,0.795,197236,0.488,0.00364,6,0.133,-10.349,1,0.192,107.734,4,0.528,2017-06-09
619,4mJDfMcT7odIUjWlb2WO4L,0.189,0.792,177215,0.307,0.0,11,0.0834,-6.224,0,0.0522,104.511,4,0.631,2017-06-09
620,08nllpWqKceY9vtmVSrz9j,0.0202,0.695,240758,0.684,0.0,6,0.106,-5.922,0,0.0383,110.067,4,0.253,2017-06-09
621,0ug5NqcwcFR2xrfTkc7k8e,0.00264,0.592,231000,0.801,0.00126,7,0.117,-5.522,1,0.0372,95.032,4,0.502,2017-06-09
622,6Dhw6szvLCCx8KszHO7Csy,0.00338,0.617,240125,0.792,0.000446,0,0.0304,-5.622,1,0.0504,93.992,4,0.577,2017-06-09
623,0cqRj7pUJDkTCEsJkx8snD,0.059,0.649,219200,0.795,0.0,7,0.132,-5.337,1,0.163,160.061,4,0.915,2017-06-09
624,2GmG6CBIADDF6nIgwdWNQq,0.345,0.595,228649,0.562,0.0,9,0.0981,-7.28,1,0.0512,131.965,4,0.0659,2017-06-09
